turn,gold
799,164
800,166
801,163
802,163
803,163
804,166
805,166
806,166
807,170
808,175
809,172
810,172
811,169
812,166
813,166
814,167
815,164
816,164
817,161
818,162
819,162
820,163
821,163
822,160
823,160
824,160
825,163
826,160
827,160
828,160
829,157
830,157
831,154
832,154
833,155
834,156
835,157
836,158
837,158
838,159
839,160
840,160
841,161
842,162
843,163
844,160
845,157
846,157
847,158
848,158
849,159
850,156
851,156
852,157
853,157
854,157
855,154
856,154
857,151
858,151
859,148
860,148
861,145
862,142
863,142
864,141
865,141
866,145
867,145
868,142
869,139
870,139
871,141
872,141
873,138
874,138
875,138
876,138
877,135
878,135
879,132
880,132
881,129
882,129
883,126
884,126
885,123
886,123
887,120
888,120
889,117
890,114
891,111
892,108
893,105
894,102
895,99
896,99
897,96
898,93
899,92
900,95
901,99
902,96
903,93
904,90
905,87
906,84
907,81
908,78
909,75
910,72
911,69
912,66
913,63
914,62
915,67
916,64
917,64
918,64
919,64
920,61
921,60
922,60
923,57
924,56
925,59
926,64
927,64
928,64
929,67
930,64
931,64
932,64
933,65
934,69
935,69
936,71
937,75
938,75
939,76
940,77
941,77
942,77
943,82
944,82
945,86
946,86
947,91
948,91
949,92
950,92
951,94
952,97
953,100
954,100
955,103
956,103
957,100
958,100
959,100
960,105
961,102
962,102
963,99
964,99
965,99
966,96
967,93
968,93
969,90
970,90
971,90
972,87
973,87
974,84
975,84
976,81
977,81
978,78
979,78
980,78
981,79
982,79
983,76
984,73
985,73
986,70
987,70
988,69
989,70
990,72
991,72
992,74
993,74
994,74
995,73
996,73
997,72
998,76
999,81
1000,82
1001,82
1002,82
1003,82
1004,84
1005,84
1006,89
1007,93
1008,93
1009,93
1010,90
1011,90
1012,90
1013,87
1014,87
1015,87
1016,87
1017,84
1018,84
1019,81
1020,78
1021,75
1022,75
1023,72
1024,71
1025,72
1026,77
1027,74
1028,74
1029,71
1030,68
1031,65
1032,62
1033,59
1034,56
1035,53
1036,50
1037,47
1038,46
1039,43
1040,40
1041,39
1042,43
1043,40
1044,37
1045,34
1046,31
1047,28
1048,28
1049,33
1050,30
1051,27
1052,24
1053,21
1054,18
