turn,gold
799,378
800,379
801,380
802,381
803,380
804,381
805,382
806,383
807,384
808,385
809,384
810,385
811,386
812,387
813,388
814,389
815,388
816,389
817,390
818,391
819,392
820,391
821,392
822,393
823,394
824,393
825,394
826,395
827,396
828,395
829,396
830,397
831,398
832,399
833,400
834,401
835,400
836,401
837,402
838,403
839,404
840,403
841,404
842,405
843,406
844,407
845,408
846,407
847,408
848,409
849,410
850,411
851,412
852,413
853,414
854,413
855,414
856,415
857,416
858,417
859,418
860,419
861,420
862,421
863,420
864,421
865,422
866,423
867,424
868,425
869,426
870,425
871,426
872,427
873,428
874,429
875,430
876,431
877,432
878,431
879,432
880,433
881,434
882,435
883,436
884,435
885,436
886,437
887,438
888,439
889,440
890,441
891,440
892,441
893,442
894,443
895,444
896,445
897,446
898,447
899,446
900,447
901,448
902,449
903,450
904,451
905,452
906,453
907,452
908,453
909,454
910,455
911,456
912,457
913,458
914,459
915,460
916,461
917,462
918,461
919,462
920,463
921,464
922,465
923,466
924,467
925,466
926,467
927,468
928,469
929,470
930,471
931,472
932,471
933,472
934,473
935,474
936,475
937,476
938,477
939,478
940,479
941,480
942,481
943,481
944,480
945,481
946,482
947,481
948,482
949,483
950,484
951,485
952,486
953,487
954,486
955,487
956,488
957,489
958,488
959,489
960,490
961,491
962,490
963,491
964,492
965,491
966,492
967,493
968,492
969,493
970,494
971,493
972,494
973,495
974,494
975,495
976,496
977,497
978,496
979,497
980,498
981,499
982,500
983,499
984,500
985,501
986,502
987,503
988,504
989,503
990,504
991,505
992,506
993,507
994,508
995,509
996,508
997,509
998,510
999,511
1000,512
1001,513
1002,512
1003,513
1004,514
1005,515
1006,516
1007,517
1008,516
1009,517
1010,518
1011,519
1012,520
1013,521
1014,520
1015,521
1016,522
1017,523
1018,524
1019,523
1020,524
1021,525
1022,526
1023,527
1024,528
1025,529
1026,528
1027,529
