turn,gold
799,121
800,126
801,125
802,125
803,122
804,121
805,123
806,120
807,119
808,116
809,117
810,116
811,120
812,125
813,125
814,122
815,119
816,118
817,119
818,118
819,123
820,127
821,127
822,127
823,128
824,127
825,128
826,129
827,128
828,131
829,132
830,129
831,128
832,131
833,136
834,135
835,135
836,134
837,133
838,135
839,134
840,137
841,136
842,135
843,134
844,133
845,136
846,135
847,138
848,137
849,137
850,136
851,138
852,137
853,137
854,142
855,143
856,142
857,147
858,146
859,147
860,149
861,153
862,152
863,157
864,156
865,160
866,159
867,160
868,159
869,159
870,158
871,158
872,157
873,158
874,157
875,156
876,155
877,156
878,155
879,158
880,157
881,162
882,161
883,160
884,159
885,158
886,157
887,159
888,163
889,166
890,167
891,168
892,165
893,162
894,159
895,156
896,153
897,150
898,147
899,144
900,141
901,138
902,135
903,132
904,129
905,126
906,125
907,124
908,127
909,124
910,123
911,120
912,117
913,116
914,113
915,110
916,109
917,108
918,107
919,106
920,108
921,107
922,106
923,105
924,104
925,103
926,102
927,101
928,100
929,99
930,98
931,97
932,96
933,95
934,94
935,93
936,92
937,91
938,90
939,89
940,88
941,87
942,86
943,85
944,84
945,83
946,82
947,81
948,80
949,79
950,78
951,77
952,76
953,75
954,74
955,73
956,72
957,71
958,70
959,69
960,68
961,67
962,66
963,65
964,64
965,63
966,62
967,61
968,60
969,59
970,58
971,57
972,56
973,55
974,54
975,53
976,52
977,51
978,50
979,49
980,48
981,47
982,46
983,45
984,44
985,43
986,42
987,41
988,40
989,39
990,38
991,37
992,36
993,35
994,34
995,33
996,32
997,31
998,30
999,29
1000,28
1001,27
1002,26
1003,25
1004,24
1005,23
1006,22
1007,21
1008,20
1009,19
1010,18
1011,17
1012,16
1013,15
1014,14
1015,13
1016,12
1017,11
1018,10
1019,10
1020,9
1021,8
1022,7
1023,6
1024,8
1025,7
1026,9
1027,6
1028,5
1029,5
1030,4
1031,8
1032,7
1033,6
1034,5
1035,4
1036,3
1037,2
1038,1
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
