turn,gold
799,31
800,30
801,29
802,30
803,29
804,28
805,29
806,28
807,27
808,26
809,25
810,26
811,25
812,26
813,25
814,26
815,27
816,26
817,27
818,28
819,27
820,26
821,25
822,26
823,27
824,26
825,27
826,26
827,27
828,26
829,27
830,26
831,27
832,26
833,27
834,26
835,25
836,26
837,25
838,24
839,23
840,22
841,23
842,22
843,23
844,22
845,23
846,22
847,23
848,22
849,23
850,22
851,23
852,22
853,23
854,24
855,23
856,22
857,22
858,21
859,24
860,23
861,24
862,23
863,24
864,25
865,24
866,25
867,24
868,23
869,24
870,23
871,22
872,21
873,20
874,19
875,18
876,19
877,20
878,19
879,20
880,22
881,22
882,22
883,23
884,24
885,24
886,25
887,25
888,26
889,27
890,28
891,29
892,30
893,31
894,32
895,31
896,32
897,33
898,37
899,34
900,33
901,37
902,37
903,36
904,37
905,40
906,41
907,40
908,39
909,38
910,41
911,40
912,45
913,46
914,45
915,50
916,49
917,48
918,49
919,49
920,50
921,49
922,52
923,51
924,52
925,54
926,51
927,50
928,50
929,51
930,50
931,51
932,52
933,53
934,54
935,55
936,54
937,55
938,56
939,57
940,58
941,59
942,59
943,60
944,61
945,62
946,63
947,64
948,65
949,64
950,65
951,66
952,67
953,68
954,69
955,68
956,69
957,70
958,71
959,72
960,73
961,72
962,76
963,77
964,76
965,77
966,78
967,77
968,78
969,79
970,78
971,77
972,78
973,77
974,76
975,77
976,78
977,77
978,78
979,79
980,80
981,80
982,80
983,81
984,82
985,81
986,82
987,83
988,82
989,83
990,82
991,83
992,84
993,85
994,84
995,85
996,86
997,85
998,86
999,85
1000,86
1001,85
1002,84
1003,83
1004,82
1005,81
1006,82
1007,81
1008,82
1009,83
1010,82
1011,83
1012,82
1013,83
1014,84
1015,86
1016,85
1017,84
1018,86
1019,89
1020,90
1021,90
1022,95
1023,92
1024,91
1025,96
1026,93
1027,92
1028,92
1029,94
1030,95
1031,94
1032,93
1033,92
1034,93
1035,93
1036,94
1037,99
1038,98
1039,97
1040,96
1041,95
1042,94
1043,93
1044,94
1045,93
1046,94
1047,97
1048,96
1049,97
1050,96
1051,95
1052,94
1053,95
1054,94
1055,95
1056,94
1057,93
1058,94
1059,93
1060,94
1061,93
1062,92
1063,91
1064,90
1065,89
1066,88
1067,87
1068,86
1069,85
1070,84
1071,85
1072,84
1073,83
1074,82
1075,81
1076,82
1077,81
1078,80
1079,79
1080,80
1081,79
1082,80
1083,79
1084,80
1085,79
1086,80
1087,81
1088,80
1089,81
1090,82
1091,81
1092,80
1093,79
1094,78
1095,79
1096,78
1097,77
1098,76
1099,75
1100,74
1101,73
1102,72
1103,73
1104,72
1105,73
1106,72
1107,71
1108,72
1109,71
1110,72
1111,71
1112,72
1113,71
1114,72
1115,73
1116,74
1117,73
1118,72
1119,71
1120,72
1121,71
1122,72
1123,71
1124,72
1125,71
1126,72
1127,71
1128,70
1129,69
1130,70
1131,69
1132,68
1133,69
1134,70
1135,69
1136,70
1137,69
1138,68
1139,69
1140,68
1141,67
1142,66
1143,67
1144,66
1145,67
1146,66
1147,67
1148,66
1149,67
1150,66
1151,67
1152,66
1153,67
1154,66
1155,67
1156,66
1157,65
1158,66
1159,65
1160,66
1161,65
1162,66
1163,65
1164,64
1165,63
1166,62
1167,63
1168,62
1169,61
1170,62
1171,61
1172,60
1173,61
1174,60
1175,61
1176,60
1177,60
1178,61
1179,60
1180,61
1181,60
1182,59
1183,58
1184,57
1185,58
1186,57
1187,58
1188,57
1189,58
1190,59
1191,58
1192,57
1193,58
1194,57
1195,58
1196,57
1197,58
1198,57
1199,58
1200,57
1201,58
1202,57
1203,56
1204,55
1205,54
1206,55
1207,54
1208,55
1209,54
1210,55
1211,54
1212,55
1213,54
1214,55
